ACCOUNT_NUMBER|TRX_AMOUNT|DESCRIPTION|TRX_DATE|TRX_TIME|CUSTOMER_ID
8872838283|123.00|FUND TRANSFER|2019-09-12|11:11:11|222
8872838283|1123.00|ATM WITHDRWAL|2019-09-11|11:11:11|222
8872838283|1223.00|FUND TRANSFER|2019-10-11|11:11:11|222
8872838283|1233.00|3rd Party FUND TRANSFER|2019-11-11|11:11:11|222
8872838283|1243.00|3rd Party FUND TRANSFER|2019-08-11|11:11:11|222
8872838283|12553.00|3rd Party FUND TRANSFER|2019-07-11|11:11:11|222
8872838283|12113.00|BILL PAYMENT|2019-08-11|11:11:11|222
8872838283|1222.00|BILL PAYMENT|2019-09-11|11:11:11|222
8872838283|2123.00|FUND TRANSFER|2019-09-11|11:11:11|222
8872838283|1323.00|FUND TRANSFER|2019-09-11|11:11:11|222
8872838283|12443.00|FUND TRANSFER|2019-09-11|11:11:11|222
8872838283|125553.00|FUND TRANSFER|2019-09-11|11:11:11|222
8872838283|126663.00|FUND TRANSFER|2019-09-11|11:11:11|222
8872838283|1266663.00|FUND TRANSFER|2019-09-11|11:11:11|222
8872838299|1121223.00|FUND TRANSFER|2019-09-11|11:11:11|222
8872838299|12231233.00|FUND TRANSFER|2019-09-11|11:11:11|222
8872838299|111123.00|FUND TRANSFER|2019-09-11|11:11:11|222
8872838299|12223.00|BILL PAYMENT|2019-09-11|11:11:11|222
8872838299|1223233.00|BILL PAYMENT|2019-09-11|11:11:11|222
8872838299|1223233.00|ATM WITHDRWAL|2019-09-11|11:11:11|222
8872838299|1223123233.00|ATM WITHDRWAL|2019-09-11|11:11:11|222
8872838299|1223233.00|3rd Party FUND TRANSFER|2019-09-11|11:11:11|222
8872838299|12232133.00|3rd Party FUND TRANSFER|2019-09-11|11:11:11|222
8872838299|1223233.00|3rd Party FUND TRANSFER|2019-09-11|11:11:11|222
8872838299|1111123.00|BILL PAYMENT|2019-09-11|11:11:11|222
8872838299|122223.00|BILL PAYMENT|2019-09-11|11:11:11|222
8872838299|1222223.00|BILL PAYMENT|2019-09-11|11:11:11|222
8872838299|1223233.00|FUND TRANSFER|2019-09-11|11:11:11|222
8872838299|11123.00|FUND TRANSFER|2019-09-11|11:11:11|222
8872838299|1223233.00|FUND TRANSFER|2019-09-11|11:11:11|222
8872838299|123666.00|FUND TRANSFER|2019-09-11|11:11:11|222
6872838260|1.00|BILL PAYMENT|2019-09-11|11:11:11|333
6872838260|1223.00|BILL PAYMENT|2019-09-12|11:11:11|333
6872838260|12323.00|BILL PAYMENT|2019-09-13|11:11:11|333
6872838260|12323.00|BILL PAYMENT|2019-09-11|11:11:11|333
6872838260|121233.00|BILL PAYMENT|2019-09-11|11:11:11|333
6872838260|19923.00|BILL PAYMENT|2019-09-11|11:11:11|333
6872838260|12893.00|BILL PAYMENT|2019-09-13|11:11:11|333
6872838260|99123.00|FUND TRANSFER|2019-09-14|11:11:11|333
6872838260|19923.00|FUND TRANSFER|2019-09-11|11:11:11|333
6872838260|12993.00|FUND TRANSFER|2019-09-11|11:11:11|333
6872838260|12993.00|FUND TRANSFER|2019-09-15|11:11:11|333
6872838260|12993.00|FUND TRANSFER|2019-09-11|11:11:11|333
6872838260|12993.00|FUND TRANSFER|2019-09-16|11:11:11|333
6872838260|12993.00|FUND TRANSFER|2019-09-17|11:11:11|333
6872838260|9123.00|FUND TRANSFER|2019-09-11|11:11:11|333
6872838260|1923.00|FUND TRANSFER|2019-09-11|11:11:11|333
